category_bucket,n,n_repeat,repeat_pct,ci_lo,ci_hi
1487580005092295511,4015,652,16.24,15.13,17.41
1487580005595612013,2358,373,15.82,14.4,17.35
1487580005671109489,2442,407,16.67,15.24,18.2
1487580006317032337,3501,627,17.91,16.67,19.21
1487580007675986893,3547,611,17.23,16.02,18.5
1487580008246412266,3770,286,7.59,6.78,8.48
1487580013841613016,1741,169,9.71,8.4,11.19
1602943681873052386,1599,250,15.63,13.94,17.5
other_category,48754,6723,13.79,13.49,14.1
