day_of_week,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
Monday,632602,22814,3.606374940325829,3.560710499457968,3.6526028258808214
Tuesday,641324,23429,3.653223643587329,3.607584338494562,3.6994181693374117
Wednesday,654265,22974,3.5114212131170093,3.467091837460691,3.556296492688435
Thursday,646379,24383,3.7722450760312447,3.7260724617603462,3.8189671541972934
Friday,613475,23069,3.7603814336362524,3.7130663416197187,3.8082756086744114
Saturday,554218,18573,3.351208369269854,3.304149494260402,3.398913914614827
Sunday,570086,19399,3.402819925414762,3.356070023830275,3.450197802224904
