session_depth_bucket,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
1,2701781,1365,0.05052222959595911,0.047912805000418425,0.05327369278689481
2-3,678194,8293,1.2228064536106187,1.196924931922499,1.2492405443838726
4-6,344816,18741,5.43507261843998,5.359898169179381,5.511240017135618
7-10,178837,22223,12.426399458724985,12.274316190275918,12.580096871214607
11+,408721,104019,25.44987901282293,25.316573167470246,25.583646333815203
