stage,raw_events,session_scoped_unique,user_scoped_unique,raw_events_pct_of_view,session_scoped_unique_pct_of_view,user_scoped_unique_pct_of_view
view,9401634,4060965.0,1596137.0,100.0,100.0,100.0
cart,5713723,964644.0,396240.0,60.77372295071261,23.75405845654912,24.8249367065609
remove_from_cart,3939666,477855.0,181870.0,41.90405625234933,11.767030742692931,11.394385319054694
purchase,1272629,154641.0,109732.0,13.536253378933917,3.807986525370201,6.874848462256059
