pair,z,p_raw,cliffs_delta,median_i,median_j,p_holm,magnitude
Broad Deliberators  vs  Frequent Skimmers,160.1881,0.0,0.8705,13.0,3.1667,0.0,large
Broad Deliberators  vs  Single-Mission Buyers,146.3508,0.0,0.7042,13.0,5.0,0.0,large
Cart Loaders  vs  Single-Mission Buyers,146.2006,0.0,0.7844,16.6667,5.0,0.0,large
Frequent Skimmers  vs  Cart Loaders,-161.7377,0.0,-0.9102,3.1667,16.6667,0.0,large
Frequent Skimmers  vs  Single-Mission Buyers,-37.7023,0.0,-0.339,3.1667,5.0,0.0,medium
Broad Deliberators  vs  Cart Loaders,-26.5091,0.0,-0.1722,13.0,16.6667,0.0,small
