model,k,llf,in_sample_AUC,LR_vs_previous,df,p
"M3-core (tenure, sessions, views, ABSOLUTE gap)",4,-12172.0,0.5521,,,
+ the user's own median day gap (personalises it),5,-12161.75,0.5552,20.5,1,5.97e-06
