segment,n_users,med_orders,med_distinct_products,med_distinct_categories,med_items_per_order,med_item_price,med_total_spend,med_active_days,pct_repeat
bulk,143,1.0,130.0,31.0,99.0,2.48,469.41,6.0,44.1
typical,109589,1.0,6.0,4.0,5.0,4.11,33.02,3.0,22.5
