cohort_month,n_users,last_joiner_ts,window_closes_d60,window_closes_d90,exact_trailing_days,d60_closes_within_data,d90_closes_within_data
2019-10-01,25593,2019-10-31 23:55:35,2019-12-30 23:55:35,2020-01-29 23:55:35,121.00305555555556,True,True
2019-11-01,26558,2019-11-30 23:18:18,2020-01-29 23:18:18,2020-02-28 23:18:18,91.02894675925926,True,True
2019-12-01,19576,2019-12-31 23:55:23,2020-02-29 23:55:23,2020-03-30 23:55:23,60.003194444444446,True,False
2020-01-01,20277,2020-01-31 23:58:26,2020-03-31 23:58:26,2020-04-30 23:58:26,29.00107638888889,False,False
2020-02-01,17728,2020-02-29 23:54:44,2020-04-29 23:54:44,2020-05-29 23:54:44,0.0036458333333333334,False,False
