price_quintile,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
Q1 (cheapest),787990,34982,4.439396439041104,4.394141393659369,4.4850956990174655
Q2,796582,27700,3.4773570078158933,3.4373487870149058,3.5178139305846607
Q3,796227,29495,3.7043456200304687,3.663083700072166,3.7460542517728874
Q4,912382,34190,3.7473339018086724,3.7085585141273962,3.7864987688178595
Q5 (priciest),1019168,28274,2.774223680492323,2.742516230268868,2.806287137166559
