outcome,ITT_pp,ITT_lo,ITT_hi,compliance,TOT_pp,TOT_lo,TOT_hi,naive_exposed_vs_control_pp,naive_over_TOT,rate_exposed,rate_treated_unexposed,rate_control
visit,1.03424,1.00556,1.06292,0.03604,28.69962,27.90382,29.49542,37.63367,1.3113,0.41454,0.03486,0.0382
conversion,0.11519,0.10845,0.12192,0.03604,3.19639,3.00944,3.38333,5.18465,1.62204,0.05378,0.00119,0.00194
