policy,n_targeted,budget_pct,uplift_pp,uplift_lo,uplift_hi,incremental,inc_lo,inc_hi,inc_per_1000_targeted,pct_of_total_effect,pct_lo,pct_hi
a) treat everyone,6989796,100.0,0.1108,0.1013,0.1199,7742.8319,7082.1965,8380.1173,1.1077,100.0,100.0,100.0
b1) top 50% by RESPONSE propensity,3494898,50.0,0.2158,0.197,0.2335,7540.4559,6882.9903,8161.0107,2.1576,97.3863,96.3139,98.4002
b2) bottom 50% by propensity = HIGHEST RISK,3494898,50.0,0.0023,0.0002,0.0044,81.2394,7.4486,153.7977,0.0232,1.0492,0.0977,2.01
c) top 50% by predicted UPLIFT (T-learner),3494898,50.0,0.1857,0.169,0.2019,6490.1356,5911.1387,7051.0575,1.857,83.8212,80.4176,87.4047
c') top 50% by predicted UPLIFT (X-learner),3494898,50.0,0.2092,0.1921,0.226,7312.1126,6719.1506,7898.2076,2.0922,94.4372,91.3287,97.4886
d) random 50% (budget floor),3496571,50.0239,0.1102,0.0968,0.1236,3854.3274,3383.5121,4321.7066,1.1023,49.7793,45.3865,54.1778
