value_tercile_star,flagged_TP,missed,total_at_risk,pct_of_all_missed,visibility_pct
Mid,18409,14854,33263,51.2,55.3
Low,11975,9991,21966,34.5,54.5
High,2417,4141,6558,14.3,36.9
