bucket_day,bf_pct,organic_pct,gap_pp,gap_lo,gap_hi
7,4.87,5.68,-0.81,-1.3,-0.32
14,6.96,9.49,-2.53,-3.11,-1.94
30,11.15,16.55,-5.39,-6.12,-4.66
60,16.69,24.52,-7.83,-8.69,-6.97
90,21.0,28.41,-7.42,-8.35,-6.48
