subtype,n_users,n_repeat,repeat_rate_pct,ci_lo,ci_hi
substitution_later_session,32460,13727,42.28897104128158,41.752490829974114,42.82727615062199
bought_other_category,37758,14974,39.65782085915568,39.16547492080382,40.152270988074044
substitution_same_session,46849,16066,34.29315460308651,33.86461797109664,34.72426683979604
recart_no_purchase,29358,5783,19.698208324817767,19.247238211985188,20.15710730580916
returned_browsed_only,73614,4096,5.564158991496183,5.400875038169477,5.732080365589772
