horizon,n_eligible,n_train,n_test,split_at,pos_train_pct,pos_test_pct,AP,AP_lift,ROC_AUC,Brier,ROC_one_feature,AP_one_feature
D30,91334,63934,27400,2019-12-18,14.6198,11.6533,0.1809,1.5526,0.6278,0.1014,0.6057,0.1644
D60,71727,50209,21518,2019-11-29,23.4022,15.6474,0.2494,1.5941,0.6467,0.1345,0.62,0.224
D90,52737,36916,15821,2019-11-15,29.0931,22.2679,0.3569,1.6027,0.6592,0.1732,0.6154,0.3039
