outcome,unadjusted difference in means,ANCOVA (additive covariates),Lin interacted (T x centred X),propensity-stratified (20 strata)
conversion,0.1152,0.0916,0.1002,0.0995
visit,1.0342,0.6982,0.7734,0.8205
