filename,n_rows,min_ts,max_ts,n_months_present
data/raw/2019-Dec.csv,3533286,2019-12-01 00:00:00,2019-12-31 23:59:57,1
data/raw/2019-Nov.csv,4635837,2019-11-01 00:00:02,2019-11-30 23:59:58,1
data/raw/2019-Oct.csv,4102283,2019-10-01 00:00:00,2019-10-31 23:59:54,1
data/raw/2020-Feb.csv,4156682,2020-02-01 00:00:01,2020-02-29 23:59:59,1
data/raw/2020-Jan.csv,4264752,2020-01-01 00:00:00,2020-01-31 23:59:58,1
