target_pp,decision_margin_pp,n_per_arm_detect_vs_zero,n_per_arm_decision,ratio,enrolment_weeks,weeks_to_readout,years_of_inflow,contact_cost_eur
0.5,0.1081,58999,1263147,21.41,567,574,10.85,63157.0
0.75,0.3581,26497,116241,4.39,53,60,1.0,5812.0
1.0,0.6081,15058,40719,2.7,19,26,0.35,2036.0
1.5,1.1081,6829,12509,1.83,6,13,0.11,625.0
2.0,1.6081,3917,6055,1.55,3,10,0.05,303.0
2.5,2.1081,2555,3590,1.41,2,9,0.03,180.0
3.0,2.6081,1808,2388,1.32,2,9,0.02,119.0
