type,n_users,n_repeat,repeat_pct,ci_lo,ci_hi,median_n_removals
comparison_browse,90,35,38.89,29.47,49.22,8.5
price_driven,228,72,31.58,25.89,37.88,7.0
deferred_intent,29416,6986,23.75,23.27,24.24,8.0
substitution,20150,4556,22.61,22.04,23.19,4.0
true_abandonment,4876,1064,21.82,20.68,23.0,2.0
other_inconclusive,76,13,17.11,10.28,27.1,1.0
