design,status,n_per_arm,n_total,events_per_arm,enrolment_weeks,weeks_to_readout,contact_cost_eur,P_ship_at_target_pct,P_kill_at_zero_pct,powered_for
A) detect-vs-zero,"ALTERNATIVE -- detects a large effect, cannot adjudicate break-even",15058,30116,1543,7,14,753.0,39.9,20.1,80% power to reject a null of ZERO at 1.00 pp
B) decision-powered,RECOMMENDED -- powered for the decision rule actually pre-registered,40721,81442,4173,19,26,2036.0,80.0,45.4,80% power for the CI lower bound to clear 0.39 pp at 1.00 pp
