design,true_effect_pp,P_ship_pct,P_kill_pct,P_inconclusive_pct
"B) decision-powered, 40,719/arm",0.0,0.0,45.4,54.6
"B) decision-powered, 40,719/arm",0.392,2.5,2.5,95.0
"B) decision-powered, 40,719/arm",0.75,38.1,0.0,61.8
"B) decision-powered, 40,719/arm",1.0,80.0,0.0,20.0
"B) decision-powered, 40,719/arm",1.5,99.9,0.0,0.1
