measure,n,nb03_panel_users_pct,ci,nb02_committed_pct,agrees
D30 purchase retention (first-order-anchored),71727,14.08,"[13.83, 14.33]",14.08,True
D60 purchase retention (first-order-anchored),71727,21.08,"[20.78, 21.38]",21.08,True
