category_bucket,n,n_repeat,repeat_pct,ci_lo,ci_hi
1487580005092295511,2984,990,33.18,31.51,34.89
1487580005595612013,1714,550,32.09,29.92,34.34
1487580005671109489,1900,591,31.11,29.06,33.22
1487580006317032337,2702,868,32.12,30.39,33.91
1487580007675986893,2604,883,33.91,32.12,35.75
1487580008246412266,2648,423,15.97,14.63,17.42
1487580013841613016,1221,263,21.54,19.32,23.93
1602943681873052386,1108,339,30.6,27.95,33.37
other_category,35270,9224,26.15,25.7,26.61
