category_bucket,n_sessions,n_converted,conv_rate_pct,ci_low_pct,ci_high_pct
1487580005092295511,166934,7457,4.4670348760588015,4.368980911793454,4.567184386893809
1487580005134238553,40345,1564,3.8765646300656833,3.6925524775779284,4.069359254180207
1487580005268456287,82870,3660,4.4165560516471585,4.278767571351868,4.558570399109956
1487580005511725929,32671,1163,3.559731872302654,3.3642178477641465,3.766165513871858
1487580005595612013,94602,3705,3.9164076869410795,3.7946535845042644,4.041904226831025
1487580005671109489,73950,2879,3.8931710615280597,3.756134610011954,4.0349974598873874
1487580005713052531,34178,1391,4.069869506700217,3.865499473885376,4.2845630737302445
1487580005754995573,40629,1768,4.351571537571686,4.157472297094209,4.5543020502847265
1487580006300255120,147894,2353,1.5910043679932926,1.5284787716312522,1.6560446888629694
1487580006317032337,99440,5168,5.197103781174578,5.060864443973241,5.336804538979697
1487580006350586771,54475,1437,2.637907296925195,2.506632209572975,2.775861657327605
1487580007675986893,116681,3451,2.957636633213634,2.8619668104966043,3.056403881430709
1487580008145748965,44681,1771,3.963653454488485,3.7866698670332766,4.1485523315021355
1487580008246412266,140890,5130,3.6411384768258928,3.5445880515316635,3.7402168430957046
1487580008263189483,66213,2036,3.0749248636974613,2.9461270098249193,3.209167276380806
1487580009051717646,51550,1341,2.6013579049466538,2.467442036184193,2.7423374541881107
1487580009445982239,56449,2453,4.345515420999487,4.18041178172488,4.516832381621902
1487580013841613016,176607,3591,2.0333282372725883,1.9685395848614302,2.1002035338876945
1487580013950664926,122936,2675,2.175928938634737,2.095855268402132,2.258991293372547
1602943681873052386,143053,4918,3.4378866573927147,3.344713275393111,3.5335606739538816
other_category,2525301,94730,3.7512359912739117,3.727870645002745,3.7747420435062207
