horizon,nb02_cohort_eligible_n,nb02_purchase_retention_pct,handoff_says_n,handoff_says_pct,nb05_user_eligible_n,nb05_positive_rate_pct
D30,71727,14.08,71727,14.08,91334,13.73
D60,71727,21.08,71727,21.08,71727,21.08
D90,52151,27.1,52151,27.1,52737,27.05
